Brand,Model,Series,Color,Quantity,Sold,In Stock,Purchase Price,Selling Price,Profit,,,
Pagani,Utopia,Peak Pursuit,Blue,1,0,1,$2.00,$4.00,$0.00,,,,,,,,
Peugeot,9X8 Hypercar,HW Exotics,White,1,0,1,$2.00,$4.00,$0.00,,,,,,,,
Porsche,911 Turbo Cabriolet,Then and Now,Magenta,1,0,1,$2.00,$4.00,$0.00,,,,,,,,
Porsche,Carrera (1996),HW The 90`S,White,1,0,1,$2.00,$4.00,$0.00,,,,,,,,
Porsche,911 Carrera,Experimotors,White n Blue,1,0,1,$2.00,$4.00,$0.00,,,,,,,,
Porsche,911 GT3,HW Race Day,Black,1,0,1,$2.00,$4.00,$0.00,,,,,,,,
Porsche,911 Carrera GTS,HW Exotics,Red,1,0,1,$2.00,$4.00,$0.00,,,,,,,,
Porsche,904 Carrera GTS,HW Race Day,Light Yellow,1,0,1,$2.00,$4.00,$0.00,,,,,,,,
Range Rover,Velar,Then and Now,Golden,1,0,1,$2.00,$4.00,$0.00,,,,,,,,
Renault,Sport R.S 01,HW Turbo,Red,1,0,1,$2.00,$4.00,$0.00,,,,,,,,
Shelby,Cobra Daytona Coupe,HW Race Day,Blue,1,0,1,$2.00,$4.00,$0.00,,,,,,,,
Subaru,Impreza 22B Sti Version,HW The 90`S,White,1,0,1,$2.00,$4.00,$0.00,,,,,,,,
Subaru,BRZ,HW J-Imports,Blue,2,0,2,$4.00,$4.00,$0.00,,,,,,,,
Subaru,Brz,HW J-Imports,White,1,0,1,$2.00,$4.00,$0.00,,,,,,,,
Tesla,Cyberquad,HW Dirt,Black,1,0,1,$2.00,$4.00,$0.00,,,,,,,,
Toyota,GR86 Cup,Compact Kings,Orange,1,0,1,$2.00,$4.00,$0.00,,,,,,,,
